param_id,k_range,ksd_range,a_range,b_range,z,t,n,s,add_space_range,l
k50ksd25kmin17kmax200l1950a0.1b1z2000zsd1000zmin1500zmax2500t40n20000s33h17,50,25,0.1,1,2000,40,20000,33,17,1950
k50ksd25kmin17kmax200l1950a0.2b1z2000zsd1000zmin1500zmax2500t40n20000s33h17,50,25,0.2,1,2000,40,20000,33,17,1950
k50ksd25kmin17kmax200l1950a0.5b1z2000zsd1000zmin1500zmax2500t40n20000s33h17,50,25,0.5,1,2000,40,20000,33,17,1950
k50ksd25kmin17kmax200l1950a0.8b1z2000zsd1000zmin1500zmax2500t40n20000s33h17,50,25,0.8,1,2000,40,20000,33,17,1950
k50ksd25kmin17kmax200l1950a1.2b1z2000zsd1000zmin1500zmax2500t40n20000s33h17,50,25,1.2,1,2000,40,20000,33,17,1950
k50ksd25kmin17kmax200l1950a2b1z2000zsd1000zmin1500zmax2500t40n20000s33h17,50,25,2,1,2000,40,20000,33,17,1950
k50ksd25kmin17kmax200l1950a5b1z2000zsd1000zmin1500zmax2500t40n20000s33h17,50,25,5,1,2000,40,20000,33,17,1950
k50ksd25kmin17kmax200l1950a10b1z2000zsd1000zmin1500zmax2500t40n20000s33h17,50,25,10,1,2000,40,20000,33,17,1950
k50ksd25kmin17kmax200l1950a1b0.1z2000zsd1000zmin1500zmax2500t40n20000s33h17,50,25,1,0.1,2000,40,20000,33,17,1950
k50ksd25kmin17kmax200l1950a1b0.2z2000zsd1000zmin1500zmax2500t40n20000s33h17,50,25,1,0.2,2000,40,20000,33,17,1950
k50ksd25kmin17kmax200l1950a1b0.5z2000zsd1000zmin1500zmax2500t40n20000s33h17,50,25,1,0.5,2000,40,20000,33,17,1950
k50ksd25kmin17kmax200l1950a1b0.8z2000zsd1000zmin1500zmax2500t40n20000s33h17,50,25,1,0.8,2000,40,20000,33,17,1950
k50ksd25kmin17kmax200l1950a1b1z2000zsd1000zmin1500zmax2500t40n20000s33h17,50,25,1,1,2000,40,20000,33,17,1950
k50ksd25kmin17kmax200l1950a1b1.2z2000zsd1000zmin1500zmax2500t40n20000s33h17,50,25,1,1.2,2000,40,20000,33,17,1950
k50ksd25kmin17kmax200l1950a1b2z2000zsd1000zmin1500zmax2500t40n20000s33h17,50,25,1,2,2000,40,20000,33,17,1950
k50ksd25kmin17kmax200l1950a1b5z2000zsd1000zmin1500zmax2500t40n20000s33h17,50,25,1,5,2000,40,20000,33,17,1950
k50ksd25kmin17kmax200l1950a1b10z2000zsd1000zmin1500zmax2500t40n20000s33h17,50,25,1,10,2000,40,20000,33,17,1950
