param_id,k_range,ksd_range,m,a_range,b_range,g,z,t,n,s,add_space_range,l
k50ksd25kmin17kmax200l1700m250a0.1b0.1g1z2000zsd1000zmin1500zmax2500t20n20000s33h0,50,25,250,0.1,0.1,1,2000,20,20000,33,0,1700
k50ksd25kmin17kmax200l1700m250a0.1b0.1g1z2000zsd1000zmin1500zmax2500t20n20000s33h17,50,25,250,0.1,0.1,1,2000,20,20000,33,17,1700
k50ksd25kmin17kmax200l1700m250a0.1b0.1g1z2000zsd1000zmin1500zmax2500t20n20000s33h37,50,25,250,0.1,0.1,1,2000,20,20000,33,37,1700
k50ksd25kmin17kmax200l1700m250a0.1b1g1z2000zsd1000zmin1500zmax2500t20n20000s33h0,50,25,250,0.1,1,1,2000,20,20000,33,0,1700
k50ksd25kmin17kmax200l1700m250a0.1b1g1z2000zsd1000zmin1500zmax2500t20n20000s33h17,50,25,250,0.1,1,1,2000,20,20000,33,17,1700
k50ksd25kmin17kmax200l1700m250a0.1b1g1z2000zsd1000zmin1500zmax2500t20n20000s33h37,50,25,250,0.1,1,1,2000,20,20000,33,37,1700
k50ksd25kmin17kmax200l1700m250a0.1b10g1z2000zsd1000zmin1500zmax2500t20n20000s33h0,50,25,250,0.1,10,1,2000,20,20000,33,0,1700
k50ksd25kmin17kmax200l1700m250a0.1b10g1z2000zsd1000zmin1500zmax2500t20n20000s33h17,50,25,250,0.1,10,1,2000,20,20000,33,17,1700
k50ksd25kmin17kmax200l1700m250a0.1b10g1z2000zsd1000zmin1500zmax2500t20n20000s33h37,50,25,250,0.1,10,1,2000,20,20000,33,37,1700
k50ksd25kmin17kmax200l1700m250a0.1b50g1z2000zsd1000zmin1500zmax2500t20n20000s33h0,50,25,250,0.1,50,1,2000,20,20000,33,0,1700
k50ksd25kmin17kmax200l1700m250a0.1b50g1z2000zsd1000zmin1500zmax2500t20n20000s33h17,50,25,250,0.1,50,1,2000,20,20000,33,17,1700
k50ksd25kmin17kmax200l1700m250a0.1b50g1z2000zsd1000zmin1500zmax2500t20n20000s33h37,50,25,250,0.1,50,1,2000,20,20000,33,37,1700
k50ksd25kmin17kmax200l1700m250a0.1b100g1z2000zsd1000zmin1500zmax2500t20n20000s33h0,50,25,250,0.1,100,1,2000,20,20000,33,0,1700
